,종목코드,기업명
762,57050,현대홈쇼핑
763,93240,형지엘리트
765,3010,혜인
766,111110,호전실업
767,8770,호텔신라
768,2460,화성산업
769,13520,화승알앤에이
770,241590,화승엔터프라이즈
771,6060,화승인더스트리
772,10690,화신
773,133820,화인베스틸
774,10660,화천기계
775,850,화천기공
776,16580,환인제약
777,32560,황금에스티
778,4800,효성
779,94280,효성 ITX
780,298040,효성중공업
781,298050,효성첨단소재
782,298020,효성티앤씨
783,298000,효성화학
784,93370,후성
785,81660,휠라코리아
786,5870,휴니드테크놀러지스
787,79980,휴비스
788,5010,휴스틸
789,69260,휴켐스
790,540,흥국화재
791,3280,흥아해운
