period,ratio
2018-11-12,5.24776
2018-11-13,4.40665
2018-11-14,4.8272
2018-11-15,4.55293
2018-11-16,4.29694
2018-11-17,1.00566
2018-11-18,1.00566
2018-11-19,4.07752
2018-11-20,4.97348
2018-11-21,4.84549
2018-11-22,5.81459
2018-11-23,4.40665
2018-11-24,1.13366
2018-11-25,1.11537
2018-11-26,4.07752
2018-11-27,3.96781
2018-11-28,4.37008
2018-11-29,3.93124
2018-11-30,5.99744
2018-12-01,1.57249
2018-12-02,1.59078
2018-12-03,4.46151
2018-12-04,3.82153
2018-12-05,3.71183
2018-12-06,3.94953
2018-12-07,3.36441
2018-12-08,0.96909
2018-12-09,1.09709
2018-12-10,4.69921
2018-12-11,4.15066
2018-12-12,4.33351
2018-12-13,4.02267
2018-12-14,4.00438
2018-12-15,0.85938
2018-12-16,0.74968
2018-12-17,3.7484
2018-12-18,4.86377
2018-12-19,4.47979
2018-12-20,3.8581
2018-12-21,4.09581
2018-12-22,1.02395
2018-12-23,1.24337
2018-12-24,3.89467
2018-12-25,1.22508
2018-12-26,5.10148
2018-12-27,4.38837
2018-12-28,5.02834
2018-12-29,1.26165
2018-12-30,0.82281
2018-12-31,1.93819
2019-01-01,1.18851
2019-01-02,3.6204
2019-01-03,3.07185
2019-01-04,3.21813
2019-01-05,0.69482
2019-01-06,0.89595
2019-01-07,4.42494
2019-01-08,3.7484
2019-01-09,3.60212
2019-01-10,3.45584
2019-01-11,3.78496
2019-01-12,0.96909
2019-01-13,0.93252
2019-01-14,3.60212
2019-01-15,4.11409
2019-01-16,4.04095
2019-01-17,3.34613
2019-01-18,4.38837
2019-01-19,1.0788
2019-01-20,1.00566
2019-01-21,3.94953
2019-01-22,4.15066
2019-01-23,3.49241
2019-01-24,3.94953
2019-01-25,3.78496
2019-01-26,0.73139
2019-01-27,1.0788
2019-01-28,4.02267
2019-01-29,5.72316
2019-01-30,5.39403
2019-01-31,4.5895
2019-02-01,4.66264
2019-02-02,1.00566
2019-02-03,1.26165
2019-02-04,0.93252
2019-02-05,1.00566
2019-02-06,0.89595
2019-02-07,4.51636
2019-02-08,4.5895
2019-02-09,0.93252
2019-02-10,0.93252
2019-02-11,4.18723
2019-02-12,4.8272
2019-02-13,6.25342
2019-02-14,4.24209
2019-02-15,5.70488
2019-02-16,1.24337
2019-02-17,0.96909
2019-02-18,4.8272
2019-02-19,4.09581
2019-02-20,14.53647
2019-02-21,11.39147
2019-02-22,17.09636
2019-02-23,5.74145
2019-02-24,1.99305
2019-02-25,4.47979
2019-02-26,4.24209
2019-02-27,4.66264
2019-02-28,4.84549
2019-03-01,1.64563
2019-03-02,1.15194
2019-03-03,4.24209
2019-03-04,6.07057
2019-03-05,5.96087
2019-03-06,5.77802
2019-03-07,4.44322
2019-03-08,5.1929
2019-03-09,0.95081
2019-03-10,0.73139
