period,동화약품
2016-11-03,14.803339999999999
2016-11-04,12.87715
2016-11-05,4.12176
2016-11-06,5.347519999999999
2016-11-07,17.34913
2016-11-08,15.46336
2016-11-09,19.47737
2016-11-10,20.44719
2016-11-11,17.33566
2016-11-12,3.5964400000000003
2016-11-13,3.8254300000000003
2016-11-14,17.72629
2016-11-15,18.31896
2016-11-16,20.15086
2016-11-17,16.419710000000002
2016-11-18,15.678870000000002
2016-11-19,4.64709
2016-11-20,4.25646
2016-11-21,16.85075
2016-11-22,15.82704
2016-11-23,14.964970000000001
2016-11-24,15.625
2016-11-25,13.69881
2016-11-26,4.1756400000000005
2016-11-27,3.96012
2016-11-28,13.99515
2016-11-29,14.38577
2016-11-30,14.12984
2016-12-01,13.200429999999999
2016-12-02,11.799560000000001
2016-12-03,3.4752099999999997
2016-12-04,3.7042
2016-12-05,13.267779999999998
2016-12-06,14.089429999999998
2016-12-07,13.415939999999999
2016-12-08,14.57435
2016-12-09,13.17349
2016-12-10,3.07112
2016-12-11,3.3001
2016-12-12,14.1029
2016-12-13,16.98545
2016-12-14,14.493529999999998
2016-12-15,15.01885
2016-12-16,14.99191
2016-12-17,3.86584
2016-12-18,3.5964400000000003
2016-12-19,14.493529999999998
2016-12-20,15.15355
2016-12-21,12.5404
2016-12-22,12.2306
2016-12-23,11.97467
2016-12-24,3.19234
2016-12-25,3.11153
2016-12-26,14.143310000000001
2016-12-27,14.722520000000001
2016-12-28,15.678870000000002
2016-12-29,15.19396
2016-12-30,7.75862
2016-12-31,4.02747
2017-01-01,4.4181
2017-01-02,15.36907
2017-01-03,16.39278
2017-01-04,14.9515
2017-01-05,15.42295
2017-01-06,14.48006
2017-01-07,4.08135
2017-01-08,4.43157
2017-01-09,15.28825
2017-01-10,15.988679999999999
2017-01-11,16.27155
2017-01-12,13.49676
2017-01-13,13.22737
2017-01-14,3.54256
2017-01-15,3.96012
2017-01-16,15.746220000000001
2017-01-17,28.1654
2017-01-18,19.827579999999998
2017-01-19,15.759689999999999
2017-01-20,13.5237
2017-01-21,4.9568900000000005
2017-01-22,5.7112
2017-01-23,24.08405
2017-01-24,23.316270000000003
2017-01-25,18.69612
2017-01-26,17.887929999999997
2017-01-27,3.4482699999999995
2017-01-28,3.17887
2017-01-29,3.52909
2017-01-30,4.1891099999999994
2017-01-31,18.30549
2017-02-01,17.47036
2017-02-02,16.74299
2017-02-03,14.7764
2017-02-04,5.18588
2017-02-05,6.26346
2017-02-06,29.094820000000002
2017-02-07,26.11799
2017-02-08,22.64278
2017-02-09,20.191270000000003
2017-02-10,19.27532
2017-02-11,4.20258
2017-02-12,4.4585099999999995
2017-02-13,20.25862
2017-02-14,17.87446
2017-02-15,22.1848
2017-02-16,18.68265
2017-02-17,23.72036
2017-02-18,5.630380000000001
2017-02-19,5.30711
2017-02-20,20.74353
2017-02-21,21.82112
2017-02-22,21.34967
2017-02-23,20.85129
2017-02-24,21.82112
2017-02-25,5.64385
2017-02-26,6.18265
2017-02-27,27.65355
2017-02-28,28.44827
2017-03-01,6.9908399999999995
2017-03-02,23.37015
2017-03-03,19.342670000000002
2017-03-04,4.91648
2017-03-05,4.62015
2017-03-06,31.35775
2017-03-07,25.94288
2017-03-08,24.70366
2017-03-09,22.54849
2017-03-10,23.54525
2017-03-11,4.75484
2017-03-12,4.62015
2017-03-13,24.38038
2017-03-14,22.13092
2017-03-15,25.28286
2017-03-16,23.316270000000003
2017-03-17,20.528010000000002
2017-03-18,4.35075
2017-03-19,3.96012
2017-03-20,18.13038
2017-03-21,19.53125
2017-03-22,22.467670000000002
2017-03-23,20.74353
2017-03-24,19.67941
2017-03-25,4.566269999999999
2017-03-26,3.91971
2017-03-27,22.575429999999997
2017-03-28,23.98976
2017-03-29,23.733829999999998
2017-03-30,24.434260000000002
2017-03-31,30.280170000000002
2017-04-01,6.26346
2017-04-02,5.3205800000000005
2017-04-03,30.226290000000002
2017-04-04,29.13523
2017-04-05,26.373920000000002
2017-04-06,22.52155
2017-04-07,22.73706
2017-04-08,5.36099
2017-04-09,6.07489
2017-04-10,24.488139999999998
2017-04-11,25.48491
2017-04-12,24.4612
2017-04-13,23.69342
2017-04-14,21.107210000000002
2017-04-15,4.32381
2017-04-16,4.47198
2017-04-17,23.32974
2017-04-18,21.82112
2017-04-19,20.79741
2017-04-20,20.08351
2017-04-21,17.59159
2017-04-22,3.8389
2017-04-23,3.05765
2017-04-24,18.063029999999998
2017-04-25,18.42672
2017-04-26,18.49407
2017-04-27,18.37284
2017-04-28,16.82381
2017-04-29,3.42133
2017-04-30,2.89601
2017-05-01,5.2262900000000005
2017-05-02,14.66864
2017-05-03,3.66379
2017-05-04,17.17403
2017-05-05,3.67726
2017-05-06,3.97359
2017-05-07,3.4348
2017-05-08,24.33997
2017-05-09,6.54633
2017-05-10,21.57866
2017-05-11,20.56842
2017-05-12,17.254839999999998
2017-05-13,3.4752099999999997
2017-05-14,3.5560300000000002
2017-05-15,18.561420000000002
2017-05-16,19.84105
2017-05-17,19.23491
2017-05-18,19.47737
2017-05-19,18.9251
2017-05-20,5.10506
2017-05-21,3.6907300000000003
2017-05-22,17.51077
2017-05-23,19.78717
2017-05-24,21.592129999999997
2017-05-25,22.54849
2017-05-26,20.25862
2017-05-27,5.95366
2017-05-28,5.5765
2017-05-29,22.25215
2017-05-30,24.19181
2017-05-31,27.747840000000004
2017-06-01,27.693959999999997
2017-06-02,19.76023
2017-06-03,4.52586
2017-06-04,4.1891099999999994
2017-06-05,21.52478
2017-06-06,6.6945
2017-06-07,22.171329999999998
2017-06-08,21.57866
2017-06-09,22.750529999999998
2017-06-10,8.79579
2017-06-11,5.899780000000001
2017-06-12,20.83782
2017-06-13,22.0501
2017-06-14,21.309260000000002
2017-06-15,19.88146
2017-06-16,17.53771
2017-06-17,4.9703599999999994
2017-06-18,4.16217
2017-06-19,18.265079999999998
2017-06-20,20.47413
2017-06-21,17.56465
2017-06-22,16.37931
2017-06-23,16.74299
2017-06-24,4.52586
2017-06-25,3.4752099999999997
2017-06-26,16.74299
2017-06-27,16.52747
2017-06-28,15.907860000000001
2017-06-29,15.82704
2017-06-30,15.3556
2017-07-01,3.81196
2017-07-02,3.5695
2017-07-03,13.617989999999999
2017-07-04,14.73599
2017-07-05,14.345360000000001
2017-07-06,13.644929999999999
2017-07-07,14.897620000000002
2017-07-08,3.54256
2017-07-09,3.52909
2017-07-10,14.547410000000001
2017-07-11,15.234370000000002
2017-07-12,14.426179999999999
2017-07-13,16.60829
2017-07-14,18.30549
2017-07-15,6.57327
2017-07-16,4.40463
2017-07-17,17.7667
2017-07-18,15.59806
2017-07-19,15.907860000000001
2017-07-20,23.76077
2017-07-21,22.91217
2017-07-22,4.80872
2017-07-23,4.31034
2017-07-24,20.3529
2017-07-25,18.31896
2017-07-26,18.265079999999998
2017-07-27,17.24137
2017-07-28,15.82704
2017-07-29,3.40786
2017-07-30,3.5560300000000002
2017-07-31,13.873920000000002
2017-08-01,15.301720000000001
2017-08-02,17.12015
2017-08-03,13.75269
2017-08-04,11.77262
2017-08-05,3.40786
2017-08-06,2.9633599999999998
2017-08-07,16.35237
2017-08-08,14.628229999999999
2017-08-09,14.27801
2017-08-10,14.830279999999998
2017-08-11,17.30872
2017-08-12,5.01077
2017-08-13,4.20258
2017-08-14,19.23491
2017-08-15,6.640619999999999
2017-08-16,19.07327
2017-08-17,18.13038
2017-08-18,16.6487
2017-08-19,3.8389
2017-08-20,3.66379
2017-08-21,18.13038
2017-08-22,22.723589999999998
2017-08-23,30.06465
2017-08-24,21.76724
2017-08-25,19.39655
2017-08-26,5.41487
2017-08-27,3.63685
2017-08-28,20.66271
2017-08-29,19.0598
2017-08-30,18.965510000000002
2017-08-31,22.64278
2017-09-01,18.669179999999997
2017-09-02,5.10506
2017-09-03,3.89278
2017-09-04,16.75646
2017-09-05,16.08297
2017-09-06,17.02586
2017-09-07,21.53825
2017-09-08,18.036089999999998
2017-09-09,4.43157
2017-09-10,5.02424
2017-09-11,20.56842
2017-09-12,20.191270000000003
2017-09-13,20.74353
2017-09-14,20.406779999999998
2017-09-15,16.904629999999997
2017-09-16,4.4181
2017-09-17,4.00053
2017-09-18,18.73653
2017-09-19,17.69935
2017-09-20,17.61853
2017-09-21,15.86745
2017-09-22,15.92133
2017-09-23,4.04094
2017-09-24,3.96012
2017-09-25,16.66217
2017-09-26,15.94827
2017-09-27,15.15355
2017-09-28,13.59105
2017-09-29,14.43965
2017-09-30,5.06465
2017-10-01,4.566269999999999
2017-10-02,4.62015
2017-10-03,3.87931
2017-10-04,3.5829699999999995
2017-10-05,3.7446099999999998
2017-10-06,3.50215
2017-10-07,5.899780000000001
2017-10-08,5.87284
2017-10-09,6.25
2017-10-10,21.7403
2017-10-11,23.1681
2017-10-12,21.188029999999998
2017-10-13,20.95905
2017-10-14,6.08836
2017-10-15,6.25
2017-10-16,20.05657
2017-10-17,28.731140000000003
