period,price,volume
2017-10-24,3035,34015
2017-10-25,3035,41386
2017-10-26,3035,54571
2017-10-27,3105,227264
2017-10-30,3190,81537
2017-10-31,3190,32025
2017-11-01,3205,39165
2017-11-02,3205,30736
2017-11-03,3185,43880
2017-11-06,3090,71933
2017-11-07,3100,40005
2017-11-08,3130,37428
2017-11-09,3100,34935
2017-11-10,3095,16294
2017-11-13,3135,46921
2017-11-14,3165,217011
2017-11-15,3050,112546
2017-11-16,3040,34141
2017-11-17,3050,44915
2017-11-20,3025,53423
2017-11-21,3000,83342
2017-11-22,2975,103065
2017-11-23,3015,73288
2017-11-24,3005,38928
2017-11-27,3020,32565
2017-11-28,3005,35545
2017-11-29,2995,25160
2017-11-30,3000,22257
2017-12-01,2995,23688
2017-12-04,2990,52223
2017-12-05,3040,116827
2017-12-06,3085,104300
2017-12-07,3040,46292
2017-12-08,2965,77710
2017-12-11,2935,34107
2017-12-12,2935,28667
2017-12-13,2930,28634
2017-12-14,2955,40640
2017-12-15,2955,21659
2017-12-18,2950,38948
2017-12-19,2910,55122
2017-12-20,2875,45122
2017-12-21,2860,49033
2017-12-22,2890,28899
2017-12-26,2880,33336
2017-12-27,2850,71729
2017-12-28,2850,104075
2018-01-02,2930,56441
2018-01-03,3020,156750
2018-01-04,3045,109519
2018-01-05,3010,58756
2018-01-08,2985,46497
2018-01-09,2875,82274
2018-01-10,2925,63527
2018-01-11,2935,41751
2018-01-12,2925,40962
2018-01-15,2940,26789
2018-01-16,2920,50690
2018-01-17,2890,44707
2018-01-18,2975,76067
2018-01-19,3035,142622
2018-01-22,3070,92953
2018-01-23,3095,77712
2018-01-24,3100,57877
2018-01-25,3200,238168
2018-01-26,3180,69009
2018-01-29,3190,82793
2018-01-30,3175,58382
2018-01-31,3360,600705
2018-02-01,3420,701822
2018-02-02,3285,273445
2018-02-05,3165,150180
2018-02-06,3105,138394
2018-02-07,3090,96959
2018-02-08,3135,78842
2018-02-09,3070,94592
2018-02-12,3085,43290
2018-02-13,3045,57647
2018-02-14,3075,64425
2018-02-19,3155,43272
2018-02-20,3105,36925
2018-02-21,3145,23714
2018-02-22,3150,56064
2018-02-23,3170,53032
2018-02-26,3170,48177
2018-02-27,3100,86818
2018-02-28,3075,37142
2018-03-02,3045,38572
2018-03-05,2995,84161
2018-03-06,3030,66336
2018-03-07,3025,55909
2018-03-08,3195,1090093
2018-03-09,3200,211306
2018-03-12,3245,263233
2018-03-13,3210,97768
