period,ratio
2016-12-17,2.41191
2016-12-18,2.23801
2016-12-19,6.75941
2016-12-20,5.61772
2016-12-21,4.95236
2016-12-22,4.13579
2016-12-23,3.78043
2016-12-24,1.02071
2016-12-25,0.83925
2016-12-26,3.54604
2016-12-27,4.27944
2016-12-28,3.96189
2016-12-29,3.36458
2016-12-30,2.13972
2016-12-31,0.92998
2017-01-01,0.89218
2017-01-02,6.1243
2017-01-03,5.02797
2017-01-04,3.78043
2017-01-05,3.78799
2017-01-06,4.31725
2017-01-07,1.08876
2017-01-08,1.09632
2017-01-09,3.89384
2017-01-10,3.96945
2017-01-11,4.13579
2017-01-12,4.06774
2017-01-13,3.23605
2017-01-14,1.07364
2017-01-15,1.74655
2017-01-16,4.30213
2017-01-17,4.87675
2017-01-18,3.74262
2017-01-19,3.13775
2017-01-20,2.83532
2017-01-21,0.84681
2017-01-22,0.92242
2017-01-23,4.01481
2017-01-24,6.75941
2017-01-25,4.65749
2017-01-26,2.95629
2017-01-27,0.80145
2017-01-28,0.72584
2017-01-29,0.66535
2017-01-30,1.01315
2017-01-31,3.62165
2017-02-01,3.61409
2017-02-02,6.90306
2017-02-03,4.64237
2017-02-04,2.15484
2017-02-05,1.94314
2017-02-06,5.33797
2017-02-07,4.35505
2017-02-08,3.7275
2017-02-09,4.16603
2017-02-10,3.90896
2017-02-11,0.96779
2017-02-12,1.119
2017-02-13,4.75578
2017-02-14,5.71601
2017-02-15,5.06577
2017-02-16,6.1999
2017-02-17,4.50627
2017-02-18,1.33827
2017-02-19,1.0812
2017-02-20,4.37774
2017-02-21,3.83335
2017-02-22,4.06774
2017-02-23,3.81067
2017-02-24,3.01678
2017-02-25,1.19461
2017-02-26,0.7712
2017-02-27,3.64433
2017-02-28,4.08286
2017-03-01,1.14169
2017-03-02,3.50068
2017-03-03,3.41751
2017-03-04,0.93754
2017-03-05,0.9073
2017-03-06,3.56872
2017-03-07,3.19068
2017-03-08,3.28897
2017-03-09,3.19824
