sector,code,company
소재,097870,효성오앤비
소재,012800,대창
소재,114630,우노앤컴퍼니
소재,009810,엔케이물산
소재,004090,한국석유
소재,024090,디씨엠
소재,012160,영흥철강
소재,002200,수출포장
소재,120240,대정화금
소재,025550,한국선재
소재,220260,켐트로스
소재,069730,DSR제강
소재,109070,컨버즈
소재,045060,오공
소재,008420,문배철강
소재,058650,세아홀딩스
소재,120030,조선선재
소재,060480,국일신동
소재,004780,대륙제관
소재,001570,금양
소재,024800,유성티엔에스
소재,002820,선창산업
소재,005190,동성화학
소재,263770,유에스티
소재,014440,영보화학
소재,001080,만호제강
소재,004450,삼화왕관
소재,025820,이구산업
소재,011500,한농화성
소재,047400,유니온머티리얼
소재,021050,서원
소재,003830,대한화섬
소재,023440,제일제강
소재,001020,페이퍼코리아
소재,017480,삼현철강
소재,037760,쎄니트
소재,019440,세아특수강
소재,008260,NI스틸
소재,033310,디케이디앤아이
소재,007280,한국특수형강
소재,014580,백광소재
소재,177830,파버나인
소재,101240,씨큐브
소재,023450,동남합성
소재,026940,부국철강
소재,107590,미원홀딩스
소재,016380,동부제철
소재,003080,성보화학
소재,032860,GMR 머티리얼즈
소재,075970,동국알앤에스
소재,155660,DSR
소재,071090,하이스틸
소재,036640,HRS
소재,003780,진양산업
소재,017650,대림제지
소재,134380,미원화학
소재,006580,대양제지
소재,006890,태경화학
소재,039240,경남스틸
소재,053260,금강철강
소재,110020,전진바이오팜
소재,050760,에스폴리텍
소재,083420,그린케미칼
소재,018470,조일알미늄
소재,001810,무림SP
소재,006110,삼아알미늄
소재,002710,TCC스틸
소재,012620,원일특강
소재,024070,WISCOM
소재,221610,한솔씨앤피
소재,037230,한국팩키지
소재,140520,대창스틸
소재,002690,동일제강
소재,006740,영풍제지
소재,036620,버추얼텍
소재,002870,신풍제지
소재,048830,엔피케이
소재,128660,피제이메탈
소재,003720,삼영화학
소재,051630,진양화학
소재,196700,웹스
소재,000590,CS홀딩스
소재,002220,한일철강
소재,008370,원풍
소재,000760,이화산업
소재,008870,금비
소재,014970,삼륭물산
소재,049830,승일
소재,001560,제일연마
소재,060380,동양에스텍
소재,079170,한창산업
소재,221980,케이디켐
소재,027970,세하
소재,026910,광진실업
소재,007770,한일화학
소재,001770,신화실업
